year,category,institute_id,name,city,state,tlr,rpc,go,oi,pr,score,rank,pdf_url,graph_url
2016,College,IR17-COLL-1-30222,AU College of Science and Technology,Visakhapatnam,Andhra Pradesh,85.05,7.53,52.04,60.5,17.4,50.85,21,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-30222.pdf,
2016,College,IR17-COLL-2-1277986,Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,51.15,3.06,77.56,72.48,45.93,50.8,22,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-1277986.pdf,
2016,College,IR17-COLL-2-30226,AU College of Arts and Commerce,Visakhapatnam,Andhra Pradesh,79.93,0.0,66.2,56.97,6.52,49.73,23,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-30226.pdf,
2016,College,IR17-COLL-2-16853,Andhra Loyola College,Vijayawada,Andhra Pradesh,61.11,22.45,61.07,66.88,12.92,49.41,24,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-16853.pdf,
2016,College,IR17-COLL-2-18888,Rajagiri College of Social Sciences,Dist. Ernakulam,Kerala,82.95,1.13,51.14,72.46,1.3,48.9,25,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-18888.pdf,
2016,College,IR17-COLL-1-25232,Holy Cross College,District Tiruchirapalli,Tamil Nadu,67.51,7.1,59.59,60.15,25.4,48.13,26,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-25232.pdf,
2016,College,IR17-COLL-1-15202,Fatima College (Autonomous),Madurai,Tamil Nadu,63.69,4.18,60.23,65.13,31.71,47.95,27,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-15202.pdf,
2016,College,IR17-COLL-2-22683,Sacred Heart College,Dist. Ernakulam,Kerala,74.86,11.73,53.26,58.74,3.08,47.24,28,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-22683.pdf,
2016,College,IR17-COLL-1-20019,St. Joseph`s College of Commerce,Bengaluru,Karnataka,52.83,0.0,67.36,71.44,38.0,47.21,29,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-20019.pdf,
2016,College,IR17-COLL-1-21126,Rajiv Gandhi Institute of Information Technology and Biotechnology (RGIITBT),Pune,Maharashtra,71.85,1.94,44.11,66.68,40.74,47.04,30,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-21126.pdf,
