year,category,band,institute_id,name,city,state
2016,Engineering,,,Gandhinagar Institute of Technology,Moti Bhoyan,Gujarat
2016,Engineering,,,Ganeshi Lal Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh
2016,Engineering,,,Ganga Institute of Technology and Management,Kablana,Haryana
2016,Engineering,,,Ganpat University,Ganpat Vidyanagar,Gujarat
2016,Engineering,,,Gates Institute of Technology,Gooty,Andhra Pradesh
2016,Engineering,,,Gateway Institute of Engineering & Technology,Sonepat,Haryana
2016,Engineering,,,Gaya College of Engineering,Gaya,Bihar
2016,Engineering,,,Gayatri Vidya Parishad College for Degree and P.G Courses (Autonomous),District Visakapatnam,Andhra Pradesh
2016,Engineering,,,Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh
2016,Engineering,,,Gayatri Vidya Parishad College of Engineering for Women,Visakhapatnam,Andhra Pradesh
2016,Engineering,,,Geethanjali College of Engineering & Technology,Kurnool,Andhra Pradesh
2016,Engineering,,,Geethanjali Institute of Science and Technology,Nellore,Andhra Pradesh
2016,Engineering,,,GIDC DEGREE ENGINERING COLLEGE,Abrama,Gujarat
2016,Engineering,,,Girijananda Chowdhury Institute of Management and Technology,Guwahati,Assam
2016,Engineering,,,"GIRIJANANDA CHOWDHURY INSTITUTE OF MANAGEMENT AND TECHNOLOGY (GIMT), TEZPUR",Tezpur,Assam
2016,Engineering,,,Global Academy of Technology,Bengaluru,Karnataka
2016,Engineering,,,Global College of Engineering & Technology,Kadapa,Andhra Pradesh
2016,Engineering,,,Global Institute of Technology,Jaipur,Rajasthan
2016,Engineering,,,GMR Institute of Technology,Rajam,Andhra Pradesh
2016,Engineering,,,Goa College of Engineering (Government of Goa),Ponda,Goa
2016,Engineering,,,Godavari Institute of Engineering & Technology,Rajahmundry,Andhra Pradesh
2016,Engineering,,,Gojan School of Business and Technology,Chennai,Tamil Nadu
2016,Engineering,,,Gokaraju Rangaraju Institute of Engineering & Technology (E&T),Hyderabad,Telangana
2016,Engineering,,,Gokul Institute of Technology and Sciences,Bobbili,Andhra Pradesh
2016,Engineering,,,Gokula Krishna College of Engineering,Sullurupeta,Andhra Pradesh
2016,Engineering,,,Gopalan College of Engineering and Management,Bengaluru,Karnataka
2016,Engineering,,,Gouthami Institute of Technology & Management for Women,Proddatur,Andhra Pradesh
2016,Engineering,,,"Government  Engineering College, Haveri",Haveri,Karnataka
2016,Engineering,,,Government College of Engineering,Salem,Tamil Nadu
2016,Engineering,,,Government College of Engineering,Krishnagiri,Tamil Nadu
2016,Engineering,,,Government College of Engineering & Ceramic Technology,Calcutta-10,West Bengal
2016,Engineering,,,Government College of Engineering & Technology,Jammu,Jammu And Kashmir
2016,Engineering,,,"Government College of Engineering ,Jalgaon(M.S.)",Jalgaon,Maharashtra
2016,Engineering,,,Government College of Engineering and Leather Technology,Kolkata,West Bengal
